-250,-250,-2.2
-240,-250,-3
-230,-250,-2.1
-220,-250,-1.5
-210,-250,-1.5
-200,-250,-2.9
-190,-250,-0.7
-180,-250,-0.7
-170,-250,-1.4
-160,-250,-1.9
-150,-250,1.6
-140,-250,-0.5
-130,-250,2.5
-120,-250,1.6
-110,-250,6.8
-100,-250,10.6
-90,-250,25.3
-80,-250,42.3
-70,-250,31.4
-60,-250,7.7
-50,-250,-1.8
-40,-250,-5.1
-30,-250,-4.6
-20,-250,-6.2
-10,-250,-4.3
0,-250,-4.5
10,-250,-3.7
20,-250,-3.7
30,-250,-3
40,-250,-3.8
50,-250,-2.8
60,-250,-3
70,-250,-3.6
80,-250,-2.9
90,-250,-3.2
100,-250,-3.7
110,-250,-3.9
120,-250,-2.1
130,-250,-3.1
140,-250,-2.3
150,-250,-3.7
160,-250,-1.1
170,-250,-3.2
180,-250,-2.4
190,-250,-3
200,-250,-2.2
210,-250,-2.8
220,-250,-1.4
230,-250,-1.6
240,-250,-2.9
250,-250,-1
-250,-200,-4.8
-240,-200,-2.9
-230,-200,-2.7
-220,-200,-2.2
-210,-200,-1.5
-200,-200,-0.4
-190,-200,0.6
-180,-200,0.4
-170,-200,-1.1
-160,-200,0.4
-150,-200,3.6
-140,-200,3.1
-130,-200,5.9
-120,-200,7.4
-110,-200,14.9
-100,-200,30.6
-90,-200,43.4
-80,-200,21.9
-70,-200,3.5
-60,-200,-2
-50,-200,-1.7
-40,-200,-3.6
-30,-200,-2.8
-20,-200,-3.7
-10,-200,-3.4
0,-200,-2.5
10,-200,-2.3
20,-200,-2.2
30,-200,-1.9
40,-200,-2.8
50,-200,-2.5
60,-200,-2.7
70,-200,-2.6
80,-200,-1.9
90,-200,-2.2
100,-200,-4
110,-200,-2.2
120,-200,-1.1
130,-200,-1.6
140,-200,-1.1
150,-200,-1.9
160,-200,-1.7
170,-200,-1.4
180,-200,-2.8
190,-200,-3.5
200,-200,-0.9
210,-200,-1.3
220,-200,1.2
230,-200,-1.5
240,-200,-1.9
250,-200,-0.2
-250,-150,-1
-240,-150,0.2
-230,-150,-0.4
-220,-150,-2.8
-210,-150,-1.4
-200,-150,-0.9
-190,-150,-2
-180,-150,0.8
-170,-150,0.5
-160,-150,0.4
-150,-150,3.9
-140,-150,5.3
-130,-150,10.2
-120,-150,19.2
-110,-150,39.6
-100,-150,36.5
-90,-150,13.1
-80,-150,2
-70,-150,-1.6
-60,-150,-2.1
-50,-150,-2.4
-40,-150,-4.2
-30,-150,-3.6
-20,-150,-4.6
-10,-150,-2.8
0,-150,-6.3
10,-150,-2.9
20,-150,-1.4
30,-150,-3.8
40,-150,-3.2
50,-150,-3.4
60,-150,-2.5
70,-150,-3.3
80,-150,-1.3
90,-150,-2.7
100,-150,-2.4
110,-150,-1.4
120,-150,-1.4
130,-150,-0.6
140,-150,-2.2
150,-150,-1.8
160,-150,-1.9
170,-150,-4
180,-150,-0.9
190,-150,2.2
200,-150,-1.7
210,-150,-1.7
220,-150,-1.6
230,-150,-1.3
240,-150,-1.4
250,-150,-3
-250,-100,-0.8
-240,-100,-0.7
-230,-100,-0.3
-220,-100,2
-210,-100,-1.5
-200,-100,0.9
-190,-100,2.5
-180,-100,2.6
-170,-100,4.8
-160,-100,5.5
-150,-100,7.1
-140,-100,11.6
-130,-100,27.5
-120,-100,44.6
-110,-100,30.6
-100,-100,9.5
-90,-100,-2.1
-80,-100,-1.2
-70,-100,-2.3
-60,-100,-4.5
-50,-100,-3.7
-40,-100,-2.9
-30,-100,-3.6
-20,-100,-2.6
-10,-100,-3.6
0,-100,-2.3
10,-100,-0.8
20,-100,-4.8
30,-100,-2.1
40,-100,-1.4
50,-100,-3.9
60,-100,-2.3
70,-100,-2.6
80,-100,-3.6
90,-100,-3.5
100,-100,-1.9
110,-100,-0.3
120,-100,-0.5
130,-100,-3.2
140,-100,-0.6
150,-100,-0.4
160,-100,-2.6
170,-100,-3.6
180,-100,-1.1
190,-100,-1.7
200,-100,-2
210,-100,-0.7
220,-100,-2.4
230,-100,-2.5
240,-100,-1.9
250,-100,-0.8
-250,-50,-0.4
-240,-50,0.5
-230,-50,-0.3
-220,-50,1
