Time (hour)	Magnetic Field (nT)
36.05	51351
36.066667	51351
36.083333	51350
36.1	51350
36.116667	51350
36.133333	51349
36.15	51349
36.166667	51349
36.183333	51348
36.2	51348
36.216667	51347
36.233333	51348
36.25	51347
36.266667	51347
36.283333	51347
36.3	51346
36.316667	51347
36.333333	51347
36.35	51347
36.366667	51347
36.383333	51347
36.4	51347
36.416667	51347
36.433333	51347
36.45	51346
36.466667	51347
36.483333	51348
36.5	51346
36.516667	51346
36.533333	51346
36.55	51347
36.566667	51347
36.583333	51347
36.6	51346
36.616667	51347
36.633333	51347
36.65	51346
36.666667	51347
36.683333	51348
36.7	51349
36.716667	51348
36.733333	51349
36.75	51348
36.766667	51350
36.783333	51349
36.8	51348
36.816667	51348
36.833333	51348
36.85	51347
36.866667	51348
36.883333	51347
36.9	51346
36.916667	51346
36.933333	51346
36.95	51347
36.966667	51347
36.983333	51346
37	51347
37.016667	51347
37.033333	51348
37.05	51348
37.066667	51348
37.083333	51348
37.1	51349
37.116667	51349
37.133333	51349
37.15	51349
37.166667	51348
37.183333	51348
37.2	51349
37.216667	51348
37.233333	51348
37.25	51348
37.266667	51348
37.283333	51348
37.3	51347
37.316667	51348
37.333333	51347
37.35	51348
37.366667	51348
37.383333	51348
37.4	51348
37.416667	51348
37.433333	51348
37.45	51349
37.466667	51349
37.483333	51349
37.5	51349
37.516667	51349
37.533333	51349
37.55	51348
37.566667	51349
37.583333	51350
37.6	51349
37.616667	51348
37.633333	51350
37.65	51349
37.666667	51350
37.683333	51350
37.7	51351
37.716667	51351
37.733333	51351
37.75	51351
37.766667	51352
37.783333	51352
37.8	51352
37.816667	51352
37.833333	51351
37.85	51351
37.866667	51351
37.883333	51351
37.9	51350
37.916667	51350
37.933333	51350
37.95	51350
37.966667	51350
37.983333	51350
38	51350
38.016667	51350
38.033333	51351
38.05	51351
38.066667	51350
38.083333	51350
38.1	51350
38.116667	51349
38.133333	51351
38.15	51350
38.166667	51350
38.183333	51350
38.2	51351
38.216667	51351
38.233333	51351
38.25	51351
38.266667	51353
38.283333	51352
38.3	51352
38.316667	51352
38.333333	51353
38.35	51353
38.366667	51352
38.383333	51352
38.4	51353
38.416667	51353
38.433333	51353
38.45	51352
38.466667	51353
38.483333	51353
38.5	51353
38.516667	51354
38.533333	51355
38.55	51354
38.566667	51355
38.583333	51355
38.6	51354
38.616667	51355
38.633333	51355
38.65	51354
38.666667	51355
38.683333	51355
38.7	51355
38.716667	51355
38.733333	51355
38.75	51355
38.766667	51355
38.783333	51354
38.8	51355
38.816667	51355
38.833333	51355
38.85	51355
38.866667	51356
38.883333	51357
38.9	51355
38.916667	51357
38.933333	51357
38.95	51358
38.966667	51358
38.983333	51358
39	51359
39.016667	51359
39.033333	51357
39.05	51356
39.066667	51357
39.083333	51356
39.1	51356
39.116667	51356
39.133333	51356
39.15	51357
39.166667	51356
39.183333	51356
39.2	51356
39.216667	51357
39.233333	51358
39.25	51357
39.266667	51358
39.283333	51357
39.3	51358
39.316667	51358
39.333333	51357
39.35	51357
39.366667	51357
39.383333	51357
39.4	51357
39.416667	51357
39.433333	51356
39.45	51355
39.466667	51355
39.483333	51355
39.5	51355
39.516667	51355
39.533333	51355
39.55	51355
39.566667	51355
39.583333	51354
39.6	51354
39.616667	51354
39.633333	51354
39.65	51355
39.666667	51356
39.683333	51356
39.7	51357
39.716667	51356
39.733333	51357
39.75	51358
39.766667	51358
39.783333	51358
39.8	51358
39.816667	51358
39.833333	51357
39.85	51357
39.866667	51356
39.883333	51355
39.9	51355
39.916667	51354
39.933333	51352
39.95	51351
39.966667	51349
39.983333	51348
40	51348
40.016667	51348
40.033333	51348
40.05	51350
40.066667	51350
40.083333	51351
40.1	51350
40.116667	51351
40.133333	51351
40.15	51353
40.166667	51353
40.183333	51354
40.2	51354
40.216667	51354
40.233333	51355
40.25	51355
40.266667	51356
40.283333	51355
40.3	51355
40.316667	51355
40.333333	51355
40.35	51355
40.366667	51355
40.383333	51355
40.4	51355
40.416667	51354
40.433333	51354
40.45	51355
40.466667	51354
40.483333	51353
40.5	51354
40.516667	51353
40.533333	51353
40.55	51353
40.566667	51353
40.583333	51354
40.6	51353
40.616667	51353
40.633333	51353
40.65	51353
40.666667	51353
40.683333	51353
40.7	51354
40.716667	51355
40.733333	51355
40.75	51355
40.766667	51356
40.783333	51358
40.8	51359
40.816667	51360
40.833333	51360
40.85	51360
40.866667	51358
40.883333	51358
40.9	51358
40.916667	51358
40.933333	51356
40.95	51356
40.966667	51356
40.983333	51354
41	51354
41.016667	51354
41.033333	51353
41.05	51352
41.066667	51351
41.083333	51351
41.1	51351
41.116667	51351
41.133333	51352
41.15	51352
41.166667	51352
41.183333	51351
41.2	51353
41.216667	51354
41.233333	51354
41.25	51354
41.266667	51355
41.283333	51355
41.3	51355
41.316667	51354
41.333333	51353
41.35	51354
41.366667	51354
41.383333	51354
41.4	51355
41.416667	51355
41.433333	51355
41.45	51354
41.466667	51355
41.483333	51354
41.5	51355
41.516667	51356
41.533333	51356
41.55	51356
41.566667	51355
41.583333	51353
41.6	51351
41.616667	51350
41.633333	51349
41.65	51349
41.666667	51348
41.683333	51347
41.7	51348
41.716667	51347
41.733333	51348
41.75	51349
41.766667	51348
41.783333	51349
41.8	51350
41.816667	51350
41.833333	51351
41.85	51353
41.866667	51353
41.883333	51353
41.9	51354
41.916667	51354
41.933333	51355
41.95	51356
41.966667	51357
41.983333	51358
42	51358
42.016667	51358
42.033333	51358
42.05	51360
42.066667	51360
42.083333	51361
42.1	51362
42.116667	51362
42.133333	51363
42.15	51363
42.166667	51363
42.183333	51363
42.2	51362
42.216667	51362
42.233333	51362
42.25	51363
42.266667	51364
42.283333	51364
42.3	51364
42.316667	51363
42.333333	51363
42.35	51362
42.366667	51360
42.383333	51359
42.4	51358
42.416667	51355
42.433333	51354
42.45	51353
42.466667	51351
42.483333	51351
42.5	51350
42.516667	51348
42.533333	51347
42.55	51346
42.566667	51345
42.583333	51345
42.6	51343
42.616667	51342
42.633333	51341
42.65	51341
42.666667	51341
42.683333	51340
42.7	51341
42.716667	51341
42.733333	51341
42.75	51343
42.766667	51343
42.783333	51344
42.8	51344
42.816667	51344
42.833333	51344
42.85	51344
42.866667	51344
42.883333	51344
42.9	51344
42.916667	51344
42.933333	51343
42.95	51343
42.966667	51343
42.983333	51343
43	51342
43.016667	51343
43.033333	51342
43.05	51343
43.066667	51343
43.083333	51342
43.1	51341
43.116667	51342
43.133333	51340
43.15	51341
43.166667	51340
43.183333	51340
43.2	51340
43.216667	51339
43.233333	51338
43.25	51339
43.266667	51340
43.283333	51342
43.3	51345
43.316667	51349
43.333333	51353
43.35	51356
43.366667	51359
43.383333	51361
43.4	51364
43.416667	51364
43.433333	51366
43.45	51366
43.466667	51368
43.483333	51366
43.5	51365
43.516667	51363
43.533333	51363
43.55	51363
43.566667	51363
43.583333	51361
43.6	51361
43.616667	51358
43.633333	51355
43.65	51354
43.666667	51351
43.683333	51350
43.7	51347
43.716667	51346
43.733333	51344
43.75	51341
43.766667	51339
43.783333	51339
43.8	51338
43.816667	51337
43.833333	51337
43.85	51337
43.866667	51336
43.883333	51337
43.9	51337
43.916667	51338
43.933333	51338
43.95	51339
43.966667	51339
43.983333	51339
44	51340
44.016667	51340
44.033333	51339
44.05	51340
44.066667	51341
44.083333	51341
44.1	51341
44.116667	51340
44.133333	51339
44.15	51339
44.166667	51339
44.183333	51339
44.2	51339
44.216667	51340
44.233333	51339
44.25	51340
44.266667	51340
44.283333	51340
44.3	51340
44.316667	51341
44.333333	51341
44.35	51341
44.366667	51341
44.383333	51342
44.4	51343
44.416667	51343
44.433333	51343
44.45	51344
44.466667	51344
44.483333	51344
44.5	51344
44.516667	51343
44.533333	51341
44.55	51341
44.566667	51342
44.583333	51342
44.6	51342
44.616667	51342
44.633333	51341
44.65	51343
44.666667	51342
44.683333	51343
44.7	51342
44.716667	51342
44.733333	51344
44.75	51344
44.766667	51344
44.783333	51345
44.8	51346
44.816667	51349
44.833333	51349
44.85	51349
44.866667	51349
44.883333	51348
44.9	51348
44.916667	51349
44.933333	51349
44.95	51350
44.966667	51350
44.983333	51350
45	51350
45.016667	51350
45.033333	51350
45.05	51351
45.066667	51349
45.083333	51349
45.1	51348
45.116667	51348
45.133333	51348
45.15	51349
45.166667	51348
45.183333	51347
45.2	51347
45.216667	51346
45.233333	51346
45.25	51346
45.266667	51347
45.283333	51346
45.3	51346
45.316667	51347
45.333333	51348
45.35	51348
45.366667	51348
45.383333	51349
45.4	51348
45.416667	51349
45.433333	51348
45.45	51348
45.466667	51348
45.483333	51348
45.5	51347
45.516667	51347
45.533333	51346
45.55	51345
45.566667	51346
45.583333	51345
45.6	51345
45.616667	51345
45.633333	51345
45.65	51344
45.666667	51344
45.683333	51344
45.7	51344
45.716667	51344
45.733333	51342
45.75	51341
45.766667	51340
45.783333	51341
45.8	51341
45.816667	51342
45.833333	51339
45.85	51340
45.866667	51338
45.883333	51338
45.9	51338
45.916667	51338
45.933333	51338
45.95	51338
45.966667	51338
45.983333	51336
46	51336
46.016667	51336
46.033333	51334
46.05	51335
46.066667	51335
46.083333	51335
46.1	51335
46.116667	51335
46.133333	51335
46.15	51335
46.166667	51336
46.183333	51336
46.2	51336
46.216667	51336
46.233333	51336
46.25	51336
46.266667	51338
46.283333	51340
46.3	51341
46.316667	51341
46.333333	51341
46.35	51341
46.366667	51342
46.383333	51341
46.4	51344
46.416667	51342
46.433333	51342
46.45	51341
46.466667	51343
46.483333	51341
46.5	51342
46.516667	51340
46.533333	51341
46.55	51340
46.566667	51341
46.583333	51341
46.6	51339
46.616667	51342
46.633333	51340
46.65	51339
46.666667	51338
46.683333	51339
46.7	51339
46.716667	51341
46.733333	51340
46.75	51340
46.766667	51339
46.783333	51339
46.8	51338
46.816667	51339
46.833333	51338
46.85	51339
46.866667	51337
46.883333	51337
46.9	51338
46.916667	51337
46.933333	51338
46.95	51338
46.966667	51339
46.983333	51339
47	51340
47.016667	51338
47.033333	51338
47.05	51339
47.066667	51340
47.083333	51339
47.1	51340
47.116667	51341
47.133333	51341
47.15	51341
47.166667	51341
47.183333	51341
47.2	51340
47.216667	51341
47.233333	51341
47.25	51342
47.266667	51342
47.283333	51340
47.3	51340
47.316667	51338
47.333333	51338
47.35	51338
47.366667	51337
47.383333	51337
47.4	51337
47.416667	51336
47.433333	51336
47.45	51334
47.466667	51333
47.483333	51334
47.5	51333
47.516667	51332
47.533333	51332
47.55	51331
47.566667	51330
47.583333	51329
47.6	51329
47.616667	51327
47.633333	51327
47.65	51326
47.666667	51326
47.683333	51325
47.7	51323
47.716667	51323
47.733333	51324
47.75	51323
47.766667	51323
47.783333	51322
47.8	51323
47.816667	51323
47.833333	51324
47.85	51324
47.866667	51325
47.883333	51327
47.9	51326
47.916667	51327
47.933333	51328
47.95	51330
47.966667	51331
47.983333	51331
48	51332
