X-Loc(m)	Y-Loc(m)	time(min)	Field Strength(nT)	Base Station(nT)
-250.0	-250.0	0.5	51347.1		51348.9
-248.5	-250.0	1.0	51346.9		51347.7
-247.0	-250.0	1.5	51347.5		51349.0
-245.5	-250.0	2.0	51343.4		51345.9
-244.0	-250.0	2.5	51346.6		51348.8
-242.5	-250.0	3.0	51345.5		51347.3
-241.0	-250.0	3.5	51346.7		51347.1
-239.5	-250.0	4.0	51345.7		51347.9
-238.0	-250.0	4.5	51348.7		51350.7
-236.5	-250.0	5.0	51348.7		51350.8
-235.0	-250.0	5.5	51347.5		51349.3
-233.5	-250.0	6.0	51348.2		51349.1
-232.0	-250.0	6.5	51346.9		51349.0
-230.5	-250.0	7.0	51347.5		51349.4
-229.0	-250.0	7.5	51346.2		51348.4
-227.5	-250.0	8.0	51347.8		51349.5
-226.0	-250.0	8.5	51348.8		51351.1
-224.5	-250.0	9.0	51346.4		51347.7
-223.0	-250.0	9.5	51348.5		51348.5
-221.5	-250.0	10.0	51346.3		51349.9
-220.0	-250.0	10.5	51348.6		51349.7
-218.5	-250.0	11.0	51346.9		51347.9
-217.0	-250.0	11.5	51348.3		51349.4
-215.5	-250.0	12.0	51344.3		51345.4
-214.0	-250.0	12.5	51345.6		51346.9
-212.5	-250.0	13.0	51348.1		51351.7
-211.0	-250.0	13.5	51345.2		51346.4
-209.5	-250.0	14.0	51346.3		51348.0
-208.0	-250.0	14.5	51344.6		51345.0
-206.5	-250.0	15.0	51351.9		51351.9
-205.0	-250.0	15.5	51347.8		51348.1
-203.5	-250.0	16.0	51346.2		51347.4
-202.0	-250.0	16.5	51347.4		51347.9
-200.5	-250.0	17.0	51347.8		51351.2
-199.0	-250.0	17.5	51347.2		51347.2
-197.5	-250.0	18.0	51347.7		51350.4
-196.0	-250.0	18.5	51348.2		51351.2
-194.5	-250.0	19.0	51348.8		51349.4
-193.0	-250.0	19.5	51347.1		51349.1
-191.5	-250.0	20.0	51345.7		51350.2
-190.0	-250.0	20.5	51348.4		51351.2
-188.5	-250.0	21.0	51349.5		51351.9
-187.0	-250.0	21.5	51348.2		51349.0
-185.5	-250.0	22.0	51349.4		51350.8
-184.0	-250.0	22.5	51345.4		51346.1
-182.5	-250.0	23.0	51349.0		51350.1
-181.0	-250.0	23.5	51346.7		51350.4
-179.5	-250.0	24.0	51348.0		51350.0
-178.0	-250.0	24.5	51346.2		51350.6
-176.5	-250.0	25.0	51347.0		51350.1
-175.0	-250.0	25.5	51345.9		51347.9
-173.5	-250.0	26.0	51347.5		51348.9
-172.0	-250.0	26.5	51347.1		51350.3
-170.5	-250.0	27.0	51347.4		51347.0
-169.0	-250.0	27.5	51346.7		51348.7
-167.5	-250.0	28.0	51345.0		51347.5
-166.0	-250.0	28.5	51347.8		51349.1
-164.5	-250.0	29.0	51348.7		51348.0
-163.0	-250.0	29.5	51347.7		51348.5
-161.5	-250.0	30.0	51348.4		51349.3
-160.0	-250.0	30.5	51348.1		51350.7
-158.5	-250.0	31.0	51347.9		51348.3
-157.0	-250.0	31.5	51347.6		51347.9
-155.5	-250.0	32.0	51347.9		51348.1
-154.0	-250.0	32.5	51350.0		51350.0
-152.5	-250.0	33.0	51349.3		51350.8
-151.0	-250.0	33.5	51349.0		51350.5
-149.5	-250.0	34.0	51351.5		51354.7
-148.0	-250.0	34.5	51350.4		51351.6
-146.5	-250.0	35.0	51349.2		51351.9
-145.0	-250.0	35.5	51350.0		51350.7
-143.5	-250.0	36.0	51351.0		51351.7
-142.0	-250.0	36.5	51348.8		51349.5
-140.5	-250.0	37.0	51349.1		51350.4
-139.0	-250.0	37.5	51350.9		51352.6
-137.5	-250.0	38.0	51349.1		51349.5
-136.0	-250.0	38.5	51350.3		51348.5
-134.5	-250.0	39.0	51348.3		51348.4
-133.0	-250.0	39.5	51347.9		51351.2
-131.5	-250.0	40.0	51349.4		51350.3
-130.0	-250.0	40.5	51349.5		51350.4
-128.5	-250.0	41.0	51350.0		51351.9
-127.0	-250.0	41.5	51349.4		51349.5
-125.5	-250.0	42.0	51348.8		51346.8
-124.0	-250.0	42.5	51349.7		51350.1
-122.5	-250.0	43.0	51350.0		51349.5
-121.0	-250.0	43.5	51349.5		51350.6
-119.5	-250.0	44.0	51348.6		51349.7
-118.0	-250.0	44.5	51349.4		51350.2
-116.5	-250.0	45.0	51349.5		51349.3
-115.0	-250.0	45.5	51347.1		51346.9
-113.5	-250.0	46.0	51348.8		51349.1
-112.0	-250.0	46.5	51349.4		51348.0
-110.5	-250.0	47.0	51350.7		51349.6
-109.0	-250.0	47.5	51348.1		51349.4
-107.5	-250.0	48.0	51347.5		51348.0
-106.0	-250.0	48.5	51349.2		51347.8
-104.5	-250.0	49.0	51350.8		51351.0
-103.0	-250.0	49.5	51350.0		51351.6
-101.5	-250.0	50.0	51352.3		51352.3
-100.0	-250.0	50.5	51351.1		51348.9
-98.5	-250.0	51.0	51348.2		51346.3
-97.0	-250.0	51.5	51347.8		51347.8
-95.5	-250.0	52.0	51351.4		51349.7
-94.0	-250.0	52.5	51350.7		51346.5
-92.5	-250.0	53.0	51351.7		51349.4
-91.0	-250.0	53.5	51352.5		51349.8
-89.5	-250.0	54.0	51352.6		51349.7
-88.0	-250.0	54.5	51352.4		51351.0
-86.5	-250.0	55.0	51356.8		51349.0
-85.0	-250.0	55.5	51357.8		51350.3
-83.5	-250.0	56.0	51364.6		51349.4
-82.0	-250.0	56.5	51368.0		51349.1
-80.5	-250.0	57.0	51367.4		51347.7
-79.0	-250.0	57.5	51366.7		51345.7
-77.5	-250.0	58.0	51368.5		51348.3
-76.0	-250.0	58.5	51365.7		51347.1
-74.5	-250.0	59.0	51365.6		51347.9
-73.0	-250.0	59.5	51364.6		51347.3
-71.5	-250.0	60.0	51361.4		51347.3
-70.0	-250.0	60.5	51361.4		51348.5
-68.5	-250.0	61.0	51353.9		51345.5
-67.0	-250.0	61.5	51349.9		51347.4
-65.5	-250.0	62.0	51349.5		51351.0
-64.0	-250.0	62.5	51346.7		51348.4
-62.5	-250.0	63.0	51343.9		51345.8
-61.0	-250.0	63.5	51346.6		51348.4
-59.5	-250.0	64.0	51343.6		51344.9
-58.0	-250.0	64.5	51343.7		51349.0
-56.5	-250.0	65.0	51346.5		51349.3
-55.0	-250.0	65.5	51345.9		51347.6
-53.5	-250.0	66.0	51341.9		51346.1
-52.0	-250.0	66.5	51344.7		51347.5
-50.5	-250.0	67.0	51344.1		51347.6
-49.0	-250.0	67.5	51342.1		51344.8
-47.5	-250.0	68.0	51341.1		51345.4
-46.0	-250.0	68.5	51341.8		51344.5
-44.5	-250.0	69.0	51342.2		51343.3
-43.0	-250.0	69.5	51342.8		51345.1
-41.5	-250.0	70.0	51341.9		51344.5
-40.0	-250.0	70.5	51343.1		51347.4
-38.5	-250.0	71.0	51344.1		51347.3
-37.0	-250.0	71.5	51343.1		51341.8
-35.5	-250.0	72.0	51344.2		51347.6
-34.0	-250.0	72.5	51343.1		51346.2
-32.5	-250.0	73.0	51343.8		51342.8
-31.0	-250.0	73.5	51340.3		51345.2
-29.5	-250.0	74.0	51342.0		51342.8
-28.0	-250.0	74.5	51342.6		51345.3
-26.5	-250.0	75.0	51343.7		51344.8
-25.0	-250.0	75.5	51342.5		51344.2
-23.5	-250.0	76.0	51344.1		51346.6
-22.0	-250.0	76.5	51343.9		51346.0
-20.5	-250.0	77.0	51342.5		51344.2
-19.0	-250.0	77.5	51339.6		51341.9
-17.5	-250.0	78.0	51345.6		51347.4
-16.0	-250.0	78.5	51344.4		51346.6
-14.5	-250.0	79.0	51343.0		51345.0
-13.0	-250.0	79.5	51342.7		51345.6
-11.5	-250.0	80.0	51339.3		51341.3
-10.0	-250.0	80.5	51342.0		51344.2
-8.5	-250.0	81.0	51340.4		51341.7
-7.0	-250.0	81.5	51343.6		51345.5
-5.5	-250.0	82.0	51337.6		51339.5
-4.0	-250.0	82.5	51339.9		51341.3
-2.5	-250.0	83.0	51341.6		51343.0
-1.0	-250.0	83.5	51342.8		51344.0
0.5	-250.0	84.0	51342.1		51344.1
2.0	-250.0	84.5	51341.8		51345.8
